"ID","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"2495063","GRUPO CÁRNICOS GONZÁLEZ",,"431121","Comercio al por mayor de carnes rojas","6 a 10 personas","BOULEVARD","SOLIDARIDAD LAS TORRES (BOULEVARD LAZARO CARDENAS)","CALLE","WENCESLAO LABRA","CALLE","TERCERA PRIVADA W. LABRA","CALLE","SONIA","141",,,,,,"COLONIA","NUEVA SANTA MARIA DE LAS ROSAS",,,,"50140","15","MÉXICO                      ","106","Toluca","0001","Toluca de Lerdo","213A","036",,"GONZALEZHORACIO31@YAHOO.COM.MX",,"Fijo","19.27201368","-99.6366991","2014-12"
"2386411","JUANITO CARNES",,"431121","Comercio al por mayor de carnes rojas","0 a 5 personas","CALLE","SIN REFERENCIA","CALLE","CALLE DEL EMBUTIDO","CALLE","NINGUNO","CALLE","NINGUNO","56","LC","CENTRAL DE ABASTO","CORREDOR","84","G","COLONIA","SAN JOSE GUADALUPE","CENTRAL DE ABASTO","CENTRAL DE ABASTO TOLUCA","G","50200","15","MÉXICO                      ","106","Toluca","0088","Santa Cruz Otzacatipan","2479","056",,,,"Fijo","19.34656707","-99.60417258","2014-12"
"2386780","POLLERÍA CONTRERAS",,"431122","Comercio al por mayor de carne de aves","0 a 5 personas","CALLE","NINGUNO","CALLE","PASEO DEL ABASTO","CALLE","PASEO DEL ABASTO","CALLE","NINGUNO","48","A","CENTRAL DE ABASTO","CORREDOR",,,"COLONIA","SANTA CRUZ OTZACATIPAN","CENTRAL DE ABASTO","CENTRAL DE ABASTO TOLUCA","A","50200","15","MÉXICO                      ","106","Toluca","0088","Santa Cruz Otzacatipan","2479","048",,,,"Fijo","19.34688999","-99.60099873","2010-07"
"2386789","POLLERÍA CONTRERAS",,"431122","Comercio al por mayor de carne de aves","0 a 5 personas","CALLE","NINGUNO","CALLE","PASEO DEL ABASTO","CALLE","PASEO DEL ABASTO","CALLE","NINGUNO","48","A","CENTRAL DE ABASTO","CORREDOR",,,"COLONIA","SANTA CRUZ OTZACATIPAN","CENTRAL DE ABASTO","CENTRAL DE ABASTO TOLUCA","A","50200","15","MÉXICO                      ","106","Toluca","0088","Santa Cruz Otzacatipan","2479","048",,,,"Fijo","19.34688999","-99.60099873","2010-07"
"2386790","POLLERÍA PIÑA",,"431122","Comercio al por mayor de carne de aves","0 a 5 personas","CALLE","NINGUNO","CALLE","PASEO DEL ABASTO","CALLE","PASEO DEL ABASTO","CALLE","NINGUNO","48","A","CENTRAL DE ABASTO","CORREDOR",,,"COLONIA","SANTA CRUZ OTZACATIPAN","CENTRAL DE ABASTO","CENTRAL DE ABASTO TOLUCA","A","50200","15","MÉXICO                      ","106","Toluca","0088","Santa Cruz Otzacatipan","2479","048",,,,"Fijo","19.34688999","-99.60099873","2010-07"
"2386785","POLLERÍA SAN MIGUEL",,"431122","Comercio al por mayor de carne de aves","0 a 5 personas","CALLE","NINGUNO","CALLE","PASEO DEL ABASTO","CALLE","PASEO DEL ABASTO","CALLE","NINGUNO","48","A","CENTRAL DE ABASTO","CORREDOR",,,"COLONIA","SANTA CRUZ OTZACATIPAN","CENTRAL DE ABASTO","CENTRAL DE ABASTO TOLUCA","A","50200","15","MÉXICO                      ","106","Toluca","0088","Santa Cruz Otzacatipan","2479","048",,,,"Fijo","19.34688999","-99.60099873","2010-07"
"2386776","POLLERÍA SIN NOMBRE",,"431122","Comercio al por mayor de carne de aves","0 a 5 personas","CALLE","NINGUNO","CALLE","PASEO DEL ABASTO","CALLE","PASEO DEL ABASTO","CALLE","NINGUNO","48","A","CENTRAL DE ABASTO","CORREDOR",,,"COLONIA","SANTA CRUZ OTZACATIPAN","CENTRAL DE ABASTO","CENTRAL DE ABASTO TOLUCA","A","50200","15","MÉXICO                      ","106","Toluca","0088","Santa Cruz Otzacatipan","2479","048",,,,"Fijo","19.34688999","-99.60099873","2010-07"
"2386788","POLLERÍA SIN NOMBRE",,"431122","Comercio al por mayor de carne de aves","0 a 5 personas","CALLE","NINGUNO","CALLE","PASEO DEL ABASTO","CALLE","PASEO DEL ABASTO","CALLE","NINGUNO","48","A","CENTRAL DE ABASTO","CORREDOR",,,"COLONIA","SANTA CRUZ OTZACATIPAN","CENTRAL DE ABASTO","CENTRAL DE ABASTO TOLUCA","A","50200","15","MÉXICO                      ","106","Toluca","0088","Santa Cruz Otzacatipan","2479","048",,,,"Fijo","19.34688999","-99.60099873","2014-12"
"6741398","PROCESADORA Y EMPACADORA DE CARNES HALAL","PROCESADORA Y EMPACADORA DE CARNES HALAL SA DE CV","431121","Comercio al por mayor de carnes rojas","0 a 5 personas","CALLE","GENERAL ROQUE GONZALEZ G.","PRIVADA","NINGUNO","CALLE","LAGUNA DE GUZMAN","CALLE","PLATEROS","0","SN",,,"0",,"COLONIA","OCHO CEDROS",,,,"50170","15","MÉXICO                      ","106","Toluca","0001","Toluca de Lerdo","3388","038",,,,"Fijo","19.25895986","-99.67210504","2016-10"
"8038263","SU CARNE","SU CARNE SA DE CV","431121","Comercio al por mayor de carnes rojas","11 a 30 personas","PRIVADA","DONICIO ACTIVAS","CALLE","NINGUNO","CALLE","DONICIO ACTIVAS","CALLE","PRIVADA 1","0","SN",,,"0",,"PARQUE INDUSTRIAL","BUENAVISTA","PARQUE INDUSTRIAL","PARQUE INDUSTRIAL SAN ANTONIO BUENAVISTA",,"50010","15","MÉXICO                      ","106","Toluca","0086","Santa Ana Tlapaltitlán","4210","008",,,,"Fijo","19.30383526","-99.61409276","2019-11"
"2497888","SURTIDORA DE POLLOS",,"431122","Comercio al por mayor de carne de aves","6 a 10 personas","AVENIDA","MIGUEL HIDALGO","BOULEVARD","ISIDRO FABELA","CALLE","ISABEL LA CATOLICA","CALLE","MARIANO ESCOBEDO","906",,,,"0",,"BARRIO","SAN SEBASTIAN",,,,"50090","15","MÉXICO                      ","106","Toluca","0001","Toluca de Lerdo","0468","020",,"SURTI_TOLUCA@HOTMAIL.COM",,"Fijo","19.28996653","-99.64231394","2010-07"
"2385542","VENTA DE POLLO FRESCO AYALA",,"431122","Comercio al por mayor de carne de aves","0 a 5 personas","CALLE","NINGUNO","CALLE","CALLE DEL POCHTECA","CALLE","CARLOS GOMEZ HERNANDEZ","CALLE","NINGUNO","28","A","CENTRAL DE ABASTO","PASILLO","86",,"ZONA COMERCIAL","MANOJEO","CENTRAL DE ABASTO","CENABASTO","86","50220","15","MÉXICO                      ","106","Toluca","0088","Santa Cruz Otzacatipan","2479","047",,,,"Fijo","19.34728495","-99.60230293","2014-12"
"2386333","ABASTECEDORA DE POLLO Y HUEVO",,"461122","Comercio al por menor de carne de aves","0 a 5 personas","CALLE","CALLE DE LOS EUCALIPTOS","OTRO (ESPECIFIQUE)","NINGUNO","CALLE","TAMARINDOS","CALLE","NINGUNO",,"SN",,,,,"COLONIA","SAUCES",,,,"50210","15","MÉXICO                      ","106","Toluca","0235","Sauces","4507","010","7225701953",,,"Fijo","19.35762075","-99.59201192","2010-07"
"7395407","ALIMENTOS KARULY",,"461121","Comercio al por menor de carnes rojas","0 a 5 personas","CALLE","NINGUNO","CALLE","CALLE DEL POCHTECA","CALLE","CARLOS GOMEZ HERNANDEZ","CALLE","NINGUNO","28","A","CENTRAL DE ABASTO","PASILLO","0",,"ZONA COMERCIAL","MANOJEO","CENTRAL DE ABASTO","CENABASTO","31","50220","15","MÉXICO                      ","106","Toluca","0088","Santa Cruz Otzacatipan","2479","047",,,,"Fijo","19.34728495","-99.60230293","2019-11"
"2500483","AVICOLA ALPI",,"461122","Comercio al por menor de carne de aves","0 a 5 personas","CALLE","DOLORES HIDALGO","CALLE","RUTA DE LA INDEPENDENCIA","CALLE","CHILPANCINGO","CALLE","ACATITA DE BAJÁN","2035",,,,"0",,"COLONIA","INDEPENDENCIA",,,,"50070","15","MÉXICO                      ","106","Toluca","0001","Toluca de Lerdo","0345","012",,,,"Fijo","19.29652777","-99.63406647","2010-07"
"9011185","AVICOLA SAN MATEO",,"461122","Comercio al por menor de carne de aves","0 a 5 personas","CALLE","BENITO JUAREZ","CALLE","IGNACIO ALLENDE","CALLE","JUAN GONZALEZ","CALLE","JOSÉ MARÍA MORELOS","107",,,,"0",,"LOCALIDAD","SAN MATEO OXTOTITLAN",,,,"50100","15","MÉXICO                      ","106","Toluca","0080","San Mateo Oxtotitlán","3852","007",,,,"Fijo","19.29316899","-99.68627537","2019-11"
"7665546","BICERAS DE RES",,"461121","Comercio al por menor de carnes rojas","0 a 5 personas","CALLE","C. TLALNEPANTLA","CALLE","C. TEMASCALTEPEC","CALLE","EL ORO","CALLE","C. 18 DE MARZO","0","SN","MERCADO PUBLICO","PISO 1","72",,"COLONIA","SECTOR POPULAR","MERCADO PUBLICO","MERCADO MIGUEL HIDALGO","72","50040","15","MÉXICO                      ","106","Toluca","0001","Toluca de Lerdo","3208","027",,,,"Fijo","19.29592375","-99.66693081","2019-11"
"7925029","BODEGA CARNICERIA Y TOCINERIA LA FLORECITA",,"461121","Comercio al por menor de carnes rojas","0 a 5 personas","AVENIDA","GENERAL VENUSTIANO CARRANZA","CALLE","ELENA CARDENAS","CALLE","JOSE LUIS ÁLAMO","CALLE","HORACIO ZÚÑIGA","0","SN",,,"219",,"COLONIA","MORELOS 1RA SECCION",,,,"50120","15","MÉXICO                      ","106","Toluca","0001","Toluca de Lerdo","0523","005",,,,"Fijo","19.28020574","-99.66813842","2019-11"
"8737342","BODEGA DE CARNE SINNOMBRE",,"461121","Comercio al por menor de carnes rojas","0 a 5 personas","CALLE","IGNACIO LOPEZ RAYON","CALLE","PASEO DE LOS MATLAZINCAS (PASEO TOLLOCAN NORTE)","CALLE","MANUEL GOMEZ PEDRAZA","CALLE","PASEO DE LOS MATLAZINCAS (PASEO TOLLOCAN NORTE)","2",,"MERCADO PUBLICO",,"245",,"BARRIO","SANTA BARBARA","MERCADO PUBLICO","MERCADO 16 DE SEPTIEMBRE","241 243 245","50050","15","MÉXICO                      ","106","Toluca","0001","Toluca de Lerdo","0383","009",,,,"Fijo","19.29550623","-99.65296559","2019-11"
"7314053","BODEGA DE CARNICOS",,"461121","Comercio al por menor de carnes rojas","0 a 5 personas","CALLE","PANFILO NATERA GARCIA","CALLE","GENERAL FELIPE ÁNGELES","CALLE","JULIO PARDINAS","CALLE","IGNACIO ALLENDE","212",,,,"0",,"COLONIA","DEL PARQUE",,,,"50180","15","MÉXICO                      ","106","Toluca","0001","Toluca de Lerdo","206A","014",,,,"Fijo","19.26545665","-99.65555636","2019-11"
"2491956","BODEGA DE VÍSCERAS DE RES SIN NOMBRE",,"461121","Comercio al por menor de carnes rojas","0 a 5 personas","AVENIDA","5 DE MAYO","CALLE","PRESA DE LA AMISTAD","BOULEVARD","ISIDRO FABELA","CALLE","DIANA LAURA RIOJAS","605",,"MERCADO PUBLICO","PLANTA BAJA","0",,"COLONIA","COMISION FEDERAL DE ELECTRICIDAD","MERCADO PUBLICO","MERCADO JUAREZ","605","50140","15","MÉXICO                      ","106","Toluca","0001","Toluca de Lerdo","2411","022",,,,"Fijo","19.27852087","-99.64003243","2014-12"
"2416372","BODEGA POLLERÍA EL GALLO DE ORO",,"461122","Comercio al por menor de carne de aves","0 a 5 personas","AVENIDA","5 DE MAYO","CALLE","PRESA DE LA AMISTAD","BOULEVARD","ISIDRO FABELA","CALLE","DIANA LAURA RIOJAS","605",,"MERCADO PUBLICO","PLANTA BAJA","0",,"COLONIA","COMISION FEDERAL DE ELECTRICIDAD","MERCADO PUBLICO","MERCADO JUAREZ","605","50140","15","MÉXICO                      ","106","Toluca","0001","Toluca de Lerdo","2411","022",,,,"Fijo","19.27852087","-99.64003243","2014-12"
"2416341","BODEGA POLLERÍA EL NIDITO",,"461122","Comercio al por menor de carne de aves","0 a 5 personas","AVENIDA","5 DE MAYO","CALLE","PRESA DE LA AMISTAD","BOULEVARD","ISIDRO FABELA","CALLE","DIANA LAURA RIOJAS","605",,"MERCADO PUBLICO","PLANTA BAJA","0",,"COLONIA","COMISION FEDERAL DE ELECTRICIDAD","MERCADO PUBLICO","MERCADO JUAREZ","605","50140","15","MÉXICO                      ","106","Toluca","0001","Toluca de Lerdo","2411","022",,,,"Fijo","19.27852087","-99.64003243","2014-12"
"2416430","BODEGA POLLERÍA EL RANCHITO",,"461122","Comercio al por menor de carne de aves","0 a 5 personas","AVENIDA","5 DE MAYO","CALLE","PRESA DE LA AMISTAD","BOULEVARD","ISIDRO FABELA","CALLE","DIANA LAURA RIOJAS","605",,"MERCADO PUBLICO","PLANTA BAJA","0",,"COLONIA","COMISION FEDERAL DE ELECTRICIDAD","MERCADO PUBLICO","MERCADO JUAREZ","SN","50140","15","MÉXICO                      ","106","Toluca","0001","Toluca de Lerdo","2411","022",,,,"Fijo","19.27852087","-99.64003243","2014-12"
"2416334","BODEGA POLLERÍA HERMANOS PIÑA",,"461122","Comercio al por menor de carne de aves","0 a 5 personas","AVENIDA","5 DE MAYO","CALLE","PRESA DE LA AMISTAD","BOULEVARD","ISIDRO FABELA","CALLE","DIANA LAURA RIOJAS","605",,"MERCADO PUBLICO","PLANTA BAJA","0",,"COLONIA","COMISION FEDERAL DE ELECTRICIDAD","MERCADO PUBLICO","MERCADO JUAREZ","SN","50140","15","MÉXICO                      ","106","Toluca","0001","Toluca de Lerdo","2411","022",,,,"Fijo","19.27852087","-99.64003243","2014-12"
"8835772","BODEGA SIN NOMBRE","CARNICERIA LA CASA DE LA CECINA ","461121","Comercio al por menor de carnes rojas","0 a 5 personas","CALLE","LOMAS DE ARENA (LAGO DE ARENA)","CALLE","LAGO PEIPUS","CALLE","LAGO MANITOBA","CALLE","XINANTÉCATL",,"SN",,,,,"COLONIA","SEMINARIO",,,,"50170","15","MÉXICO                      ","106","Toluca","0001","Toluca de Lerdo","3320","005",,,,"Fijo","19.27010979","-99.68284073","2019-11"
"2416647","BODEGA VISCERAS DE RES SOR OFELIA",,"461121","Comercio al por menor de carnes rojas","0 a 5 personas","AVENIDA","5 DE MAYO","CALLE","PRESA DE LA AMISTAD","BOULEVARD","ISIDRO FABELA","CALLE","DIANA LAURA RIOJAS","605",,"MERCADO PUBLICO","PLANTA BAJA","0",,"COLONIA","COMISION FEDERAL DE ELECTRICIDAD","MERCADO PUBLICO","MERCADO JUAREZ","605","50140","15","MÉXICO                      ","106","Toluca","0001","Toluca de Lerdo","2411","022",,,,"Fijo","19.27852087","-99.64003243","2014-12"
"2416560","BODEGA VÍSCERAS HERMANOS BERNAL",,"461121","Comercio al por menor de carnes rojas","0 a 5 personas","AVENIDA","5 DE MAYO","CALLE","PRESA DE LA AMISTAD","BOULEVARD","ISIDRO FABELA","CALLE","DIANA LAURA RIOJAS","605",,"MERCADO PUBLICO","PLANTA BAJA",,,"COLONIA","COMISION FEDERAL DE ELECTRICIDAD","MERCADO PUBLICO","MERCADO JUAREZ","605","50140","15","MÉXICO                      ","106","Toluca","0001","Toluca de Lerdo","2411","022",,,,"Fijo","19.27852087","-99.64003243","2014-12"
"2416400","BODEGA VÍSCERAS HERMANOS BERNAL",,"461121","Comercio al por menor de carnes rojas","0 a 5 personas","AVENIDA","5 DE MAYO","CALLE","PRESA DE LA AMISTAD","BOULEVARD","ISIDRO FABELA","CALLE","DIANA LAURA RIOJAS","605",,"MERCADO PUBLICO","PLANTA BAJA","0",,"COLONIA","COMISION FEDERAL DE ELECTRICIDAD","MERCADO PUBLICO","MERCADO JUAREZ","605","50140","15","MÉXICO                      ","106","Toluca","0001","Toluca de Lerdo","2411","022",,,,"Fijo","19.27852087","-99.64003243","2014-12"
"8747834","CAENICERIA LOS BETOS",,"461121","Comercio al por menor de carnes rojas","0 a 5 personas","AVENIDA","RIO LERMA","CALLE","VICENTE SUAREZ","CALLE","AGUSTIN MELGAR","CALLE","LIC. ADOLFO LÓPEZ M.",,"SN",,,,,"LOCALIDAD","EL CERRILLO VISTA HERMOSA",,,,"50235","15","MÉXICO                      ","106","Toluca","0050","El Cerrillo Vista Hermosa","1184","022","7223769092",,,"Fijo","19.32105766","-99.54387513","2019-11"
"2421721","CARNE SAN JOSE",,"461121","Comercio al por menor de carnes rojas","0 a 5 personas","CALLE","LAGUNA DE HUAPANGO","CALLE","LAGO KARATASCA","CALLE","LAGO CAIMANERO","CALLE","PARQUE BOSENCHEVE (LAGUNA GRANDE)","320",,,,,,"COLONIA","NUEVA OXTOTITLAN",,,,"50100","15","MÉXICO                      ","106","Toluca","0001","Toluca de Lerdo","1926","001",,,,"Fijo","19.28472156","-99.68316482","2014-12"
"2421753","CARNE SAN JOSE",,"461121","Comercio al por menor de carnes rojas","0 a 5 personas","CALLE","LAGO CAIMANERO","CALLE","LAGUNA DE LA ASUNCION","CALLE","LAGUNA DE AMANALCO","CALLE","LAGO KARATASCA","513",,,,,,"COLONIA","NUEVA OXTOTITLAN",,,,"50100","15","MÉXICO                      ","106","Toluca","0001","Toluca de Lerdo","1926","018","7222783623",,,"Fijo","19.28288096","-99.68328311","2014-12"
"2433486","CARNECERIA EL ORO",,"461121","Comercio al por menor de carnes rojas","0 a 5 personas","CALLE","VICENTE VILLADA","CALLE","MIGUEL HIDALGO","CALLE","MALINCHE","CALLE","MORELIA","0","SN",,,"105","LOCAL","LOCALIDAD","SAN LORENZO TEPALTITLAN",,,,"50010","15","MÉXICO                      ","106","Toluca","0075","San Lorenzo Tepaltitlán","4189","021",,,,"Fijo","19.3116389","-99.62195363","2014-12"
"2399645","CARNES DEL CENTRO",,"461121","Comercio al por menor de carnes rojas","0 a 5 personas","CALLE","BENITO JUAREZ","CALLE","INDEPENDENCIA","CALLE","NINGUNO","CALLE","ADOLFO LÓPEZ MATEOS","100",,,,"0",,"PUEBLO","CAPULTITLAN",,,,"50260","15","MÉXICO                      ","106","Toluca","0046","Capultitlán","4850","013",,,,"Fijo","19.24965408","-99.66076228","2010-07"
"9187977","CARNES ELECTAS Y CORTES FINOS LOS AMIGOS",,"461121","Comercio al por menor de carnes rojas","0 a 5 personas","CALLE","SIERRA DE IXTLAN","AVENIDA","PROFESOR HERIBERTO ENRIQUEZ","CALLE","CELESTINO NEGRETE","CALLE","SANTIAGO TAPIA","1512",,,,,,"COLONIA","AMPLIACION LAZARO CARDENAS",,,,"50180","15","MÉXICO                      ","106","Toluca","0001","Toluca de Lerdo","0646","043",,,,"Fijo","19.26629569","-99.64680853","2019-11"
"2395792","CARNES FINAS LA SEVILLANA",,"461121","Comercio al por menor de carnes rojas","0 a 5 personas","AVENIDA","GENERAL VENUSTIANO CARRANZA","CALLE","ELENA CARDENAS","CALLE","JOSE LUIS ÁLAMO","CALLE","HORACIO ZÚÑIGA","0","SN",,,"195",,"COLONIA","MORELOS 1RA SECCION",,,,"50120","15","MÉXICO                      ","106","Toluca","0001","Toluca de Lerdo","0523","005",,,,"Fijo","19.28020574","-99.66813846","2014-12"
"7672430","CARNES PREMIUM SAN MIGUEL",,"461121","Comercio al por menor de carnes rojas","0 a 5 personas","AVENIDA","GENERAL VENUSTIANO CARRANZA","CALLE","ENRIQUE CARNIADO","AVENIDA","GENERAL VICENTE GUERRERO","CALLE","NATALIA CARRASCO",,"SN",,,,,"COLONIA","MORELOS PRIMERA SECCION",,,,"50120","15","MÉXICO                      ","106","Toluca","0001","Toluca de Lerdo","0576","070",,,,"Fijo","19.28017795","-99.67009394","2019-11"
"2433984","CARNES SAN JUAN",,"461121","Comercio al por menor de carnes rojas","0 a 5 personas","AVENIDA","TOLUCA","CERRADA","24 DE FEBRERO","CALLE","BENITO JUAREZ","CALLE","VENUSTIANO CARRANZA","37","SN",,,"0",,"COLONIA","CENTRO",,,,"50225","15","MÉXICO                      ","106","Toluca","0073","San Juan Tilapa","0294","064",,,,"Fijo","19.22186116","-99.66121428","2014-12"
"2385652","CARNES SELECTAS ALEX",,"461121","Comercio al por menor de carnes rojas","0 a 5 personas","CALLE","LUIS PROCUNA","CALLE","SAN PABLO","CALLE","CARLOS ARRUZA","CALLE","CARLOS ARRUZA","0","SN",,,"0",,"COLONIA","SAUCES",,,,"52000","15","MÉXICO                      ","106","Toluca","0235","Sauces","455A","002",,,,"Fijo","19.37109545","-99.58265993","2010-07"
"2399515","CARNES SELECTAS CAPULTITLAN",,"461121","Comercio al por menor de carnes rojas","0 a 5 personas","AVENIDA","PASEO COLON","CALLE","INSURGENTES","CALLE","MORELOS","CALLE","JUAN ALDAMA",,"SN",,,,,"LOCALIDAD","CAPULTITTLAN",,,,"50260","15","MÉXICO                      ","106","Toluca","0046","Capultitlán","4846","022",,,,"Fijo","19.24869323","-99.66372691","2010-07"
